State name,Fatality Rate
"Abakaliki, Ebonyi State",2
"Abeokuta, Ogun State",1
"Ado Ekiti, Ekiti State",1
"Auchi, Edo State",4
"Awka, Anambra State",1
Bauchi State,1
"Birnin Kebbi, Kebbi State",3
"Bokkos, Plateau State",1
"Calabar, Cross River State",3
"Damaturu, Yobe State",1
Delta State,2
Enugu State,1
Federal Capital Territory,1
Gombe,2
"Gusau, Zamfara State",2
"Ibadan, Oyo State",2
"Ilorin, Kwara State",1
Jigawa State,3
"Kaduna, Kaduna State",1
Kano,2
Katsina State,2
"Lafia, Nasarawa State",1
Lagos,1
"Lokoja, Kogi State",40
"Maiduguri, Borno State",3
"Makurdi, Benue State",1
"Minna, Niger State",2
Ondo State,2
"Osogbo, Osun State",3
"Owerri, Imo State",2
"Portharcourt, Rivers State",1
Sokoto State,3
Taraba State,2
"Umuahia, Abia State",2
"Uyo, Akwa Ibom State",1
"Yenegoa, Bayelsa State",2
"Yola, Adamawa State",3
